ecosystem,component_name,component_version,purl,vulnerability_id,cve,vulnerability_description,is_vulnerable
maven,org.apache.commons:commons-lang3,3.17.0,pkg:maven/org.apache.commons/commons-lang3@3.17.0,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,ch.qos.logback:logback-core,1.5.21,pkg:maven/ch.qos.logback/logback-core@1.5.21,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.apache.commons:commons-compress,1.21,pkg:maven/org.apache.commons/commons-compress@1.21,GHSA-4265-ccf5-phj5,CVE-2024-26308,Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file,True
maven,org.apache.commons:commons-compress,1.21,pkg:maven/org.apache.commons/commons-compress@1.21,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
maven,org.apache.logging.log4j:log4j-core,2.24.1,pkg:maven/org.apache.logging.log4j/log4j-core@2.24.1,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,org.springframework:spring-core,6.2.10,pkg:maven/org.springframework/spring-core@6.2.10,GHSA-jmp9-x22r-554x,CVE-2025-41249,Spring Framework annotation detection mechanism may result in improper authorization,True
maven,org.apache.logging.log4j:log4j-core,2.25.2,pkg:maven/org.apache.logging.log4j/log4j-core@2.25.2,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,ch.qos.logback:logback-core,1.5.23,pkg:maven/ch.qos.logback/logback-core@1.5.23,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.apache.commons:commons-compress,1.22,pkg:maven/org.apache.commons/commons-compress@1.22,GHSA-4265-ccf5-phj5,CVE-2024-26308,Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file,True
maven,org.apache.commons:commons-compress,1.22,pkg:maven/org.apache.commons/commons-compress@1.22,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
